Timestamp,FPS
1,108
2,100
3,99
4,119
5,103
6,105
7,108
8,97
9,96
10,98
11,97
12,114
13,109
14,99
15,102
16,98
17,102
18,95
19,100
20,111
21,110
22,101
23,114
24,103
25,101
26,107
27,97
28,114
29,101
30,100
