Timestamp,FPS
1,100
2,96
3,102
4,90
5,92
6,102
7,95
8,90
9,92
10,91
11,92
12,101
13,101
14,92
15,94
16,100
17,92
18,90
19,91
20,100
21,99
22,93
23,95
24,115
25,92
26,102
27,100
28,90
